archivo,fecha_hora,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
p5_fila_062.html,2025-03-06 17:15:00,1.0,4.0,8.0,11.0,17.0,18.0,19.0,25.0,35.0,36.0,37.0,42.0,48.0,55.0,56.0,58.0,67.0,70.0,75.0,80.0
p5_fila_061.html,2025-03-06 17:20:00,6.0,7.0,8.0,9.0,11.0,16.0,24.0,33.0,38.0,41.0,47.0,48.0,54.0,56.0,68.0,69.0,70.0,75.0,80.0,88.0
p5_fila_060.html,2025-03-06 17:25:00,3.0,7.0,14.0,26.0,32.0,43.0,45.0,46.0,48.0,49.0,51.0,55.0,59.0,60.0,64.0,73.0,78.0,79.0,88.0,90.0
p5_fila_059.html,2025-03-06 17:30:00,1.0,5.0,10.0,12.0,19.0,20.0,22.0,30.0,35.0,43.0,45.0,47.0,51.0,68.0,71.0,73.0,80.0,83.0,85.0,86.0
p5_fila_058.html,2025-03-06 17:35:00,6.0,9.0,15.0,18.0,19.0,20.0,23.0,29.0,32.0,36.0,41.0,49.0,50.0,57.0,58.0,61.0,62.0,64.0,83.0,84.0
p5_fila_057.html,2025-03-06 17:40:00,1.0,2.0,4.0,8.0,9.0,17.0,21.0,22.0,23.0,35.0,43.0,54.0,61.0,62.0,70.0,71.0,78.0,80.0,87.0,90.0
p5_fila_056.html,2025-03-06 17:45:00,4.0,5.0,11.0,17.0,21.0,27.0,33.0,37.0,40.0,50.0,59.0,60.0,63.0,65.0,66.0,67.0,68.0,73.0,79.0,88.0
p5_fila_055.html,2025-03-06 17:50:00,8.0,16.0,17.0,21.0,23.0,25.0,27.0,29.0,36.0,43.0,44.0,47.0,59.0,60.0,71.0,77.0,79.0,80.0,89.0,90.0
p5_fila_054.html,2025-03-06 17:55:00,2.0,3.0,4.0,5.0,9.0,26.0,29.0,36.0,48.0,55.0,56.0,57.0,58.0,60.0,64.0,71.0,72.0,78.0,84.0,90.0
p4_fila_090.html,2025-04-06 11:00:00,2.0,5.0,6.0,8.0,10.0,11.0,15.0,18.0,20.0,22.0,36.0,37.0,47.0,55.0,64.0,72.0,78.0,85.0,89.0,90.0
p4_fila_089.html,2025-04-06 11:05:00,6.0,8.0,9.0,14.0,15.0,17.0,22.0,23.0,25.0,30.0,34.0,41.0,53.0,56.0,59.0,64.0,74.0,78.0,80.0,89.0
p4_fila_088.html,2025-04-06 11:10:00,5.0,8.0,9.0,12.0,13.0,23.0,24.0,29.0,35.0,40.0,48.0,50.0,63.0,65.0,67.0,68.0,74.0,83.0,87.0,88.0
p4_fila_087.html,2025-04-06 11:15:00,1.0,7.0,12.0,13.0,15.0,16.0,18.0,27.0,31.0,34.0,47.0,52.0,53.0,58.0,62.0,63.0,67.0,82.0,87.0,89.0
p4_fila_086.html,2025-04-06 11:20:00,7.0,9.0,11.0,15.0,30.0,36.0,38.0,46.0,47.0,48.0,55.0,56.0,63.0,64.0,67.0,68.0,74.0,75.0,76.0,83.0
p4_fila_085.html,2025-04-06 11:25:00,1.0,12.0,15.0,16.0,22.0,26.0,41.0,47.0,48.0,51.0,52.0,55.0,59.0,63.0,66.0,68.0,69.0,74.0,78.0,83.0
p4_fila_084.html,2025-04-06 11:30:00,1.0,5.0,7.0,29.0,35.0,38.0,43.0,47.0,48.0,54.0,57.0,67.0,69.0,70.0,77.0,81.0,83.0,85.0,87.0,88.0
